Player,Country,Position,DOB,Age,Club
Matěj Kovář,Czech Republic,GK,2000-05-17,26,PSV Eindhoven
David Zima,Czech Republic,DF,2000-11-08,25,Slavia Prague
Tomáš Holeš,Czech Republic,DF,1993-03-31,33,Slavia Prague
Robin Hranáč,Czech Republic,DF,2000-01-29,26,TSG Hoffenheim
Vladimír Coufal,Czech Republic,DF,1992-08-22,33,TSG Hoffenheim
Štěpán Chaloupek,Czech Republic,DF,2003-03-08,23,Slavia Prague
Ladislav Krejčí (captain),Czech Republic,DF,1999-04-20,27,Wolverhampton Wanderers
Vladimír Darida,Czech Republic,MF,1990-08-08,35,Hradec Králové
Adam Hložek,Czech Republic,FW,2002-07-25,23,TSG Hoffenheim
Patrik Schick,Czech Republic,FW,1996-01-24,30,Bayer Leverkusen
Jan Kuchta,Czech Republic,FW,1997-01-08,29,Sparta Prague
Lukáš Červ,Czech Republic,MF,2001-04-10,25,Viktoria Plzeň
Mojmír Chytil,Czech Republic,FW,1999-04-29,27,Slavia Prague
David Jurásek,Czech Republic,DF,2000-08-07,25,Slavia Prague
Pavel Šulc,Czech Republic,FW,2000-12-29,25,Lyon
Jindřich Staněk,Czech Republic,GK,1996-04-27,30,Slavia Prague
Lukáš Provod,Czech Republic,MF,1996-10-23,29,Slavia Prague
Michal Sadílek,Czech Republic,MF,1999-05-31,27,Slavia Prague
Tomáš Chorý,Czech Republic,FW,1995-01-26,31,Slavia Prague
Jaroslav Zelený,Czech Republic,DF,1992-08-20,33,Sparta Prague
David Douděra,Czech Republic,DF,1998-05-31,28,Slavia Prague
Tomáš Souček,Czech Republic,MF,1995-02-27,31,West Ham United
Lukáš Horníček,Czech Republic,GK,2002-07-13,23,Braga
Alexandr Sojka,Czech Republic,MF,2003-04-02,23,Viktoria Plzeň
Hugo Sochůrek,Czech Republic,MF,2008-06-07,18,Sparta Prague
Denis Višinský,Czech Republic,FW,2003-03-21,23,Viktoria Plzeň
Raúl Rangel,Mexico,GK,2000-02-25,26,Guadalajara
Jorge Sánchez,Mexico,DF,1997-12-10,28,PAOK
César Montes,Mexico,DF,1997-02-24,29,Lokomotiv Moscow
Edson Álvarez (captain),Mexico,DF,1997-10-24,28,Fenerbahçe
Johan Vásquez,Mexico,DF,1998-10-22,27,Genoa
Érik Lira,Mexico,MF,2000-05-08,26,Cruz Azul
Luis Romo,Mexico,MF,1995-06-05,31,Guadalajara
Álvaro Fidalgo,Mexico,MF,1997-04-09,29,Real Betis
Raúl Jiménez,Mexico,FW,1991-05-05,35,Fulham
Alexis Vega,Mexico,FW,1997-11-25,28,Toluca
Santiago Giménez,Mexico,FW,2001-04-18,25,Milan
Carlos Acevedo,Mexico,GK,1996-04-19,30,Santos Laguna
Guillermo Ochoa,Mexico,GK,1985-07-13,40,AEL Limassol
Armando González,Mexico,FW,2003-04-20,23,Guadalajara
Israel Reyes,Mexico,DF,2000-05-23,26,América
Julián Quiñones,Mexico,FW,1997-03-24,29,Al-Qadsiah
Orbelín Pineda,Mexico,MF,1996-03-24,30,AEK Athens
Obed Vargas,Mexico,MF,2005-08-05,20,Atlético Madrid
Gilberto Mora,Mexico,MF,2008-10-14,17,Tijuana
Mateo Chávez,Mexico,DF,2004-05-12,22,AZ
César Huerta,Mexico,FW,2000-12-03,25,Anderlecht
Guillermo Martínez,Mexico,FW,1995-03-15,31,Pumas UNAM
Jesús Gallardo,Mexico,DF,1994-08-15,31,Toluca
Luis Chávez,Mexico,MF,1996-01-15,30,Dynamo Moscow
Roberto Alvarado,Mexico,FW,1998-09-07,27,Guadalajara
Brian Gutiérrez,Mexico,MF,2003-06-17,22,Guadalajara
Ronwen Williams (captain),South Africa,GK,1992-01-21,34,Mamelodi Sundowns
Thabang Matuludi,South Africa,DF,1999-01-14,27,Polokwane City
Khulumani Ndamane,South Africa,DF,2004-02-05,22,Mamelodi Sundowns
Teboho Mokoena,South Africa,MF,1997-01-24,29,Mamelodi Sundowns
Thalente Mbatha,South Africa,MF,2000-03-06,26,Orlando Pirates
Aubrey Modiba,South Africa,DF,1995-07-22,30,Mamelodi Sundowns
Oswin Appollis,South Africa,FW,2001-08-25,24,Orlando Pirates
Tshepang Moremi,South Africa,FW,2000-10-02,25,Orlando Pirates
Lyle Foster,South Africa,FW,2000-09-03,25,Burnley
Relebohile Mofokeng,South Africa,FW,2004-10-23,21,Orlando Pirates
Themba Zwane,South Africa,MF,1989-08-03,36,Mamelodi Sundowns
Thapelo Maseko,South Africa,FW,2003-11-11,22,AEL Limassol
Sphephelo Sithole,South Africa,MF,1999-03-03,27,Tondela
Mbekezeli Mbokazi,South Africa,DF,2005-09-19,20,Chicago Fire FC
Iqraam Rayners,South Africa,FW,1995-12-19,30,Mamelodi Sundowns
Sipho Chaine,South Africa,GK,1996-12-14,29,Orlando Pirates
Evidence Makgopa,South Africa,FW,2000-06-05,26,Orlando Pirates
Samukele Kabini,South Africa,DF,2004-03-15,22,Molde
Nkosinathi Sibisi,South Africa,DF,1995-09-22,30,Orlando Pirates
Khuliso Mudau,South Africa,DF,1995-04-26,31,Mamelodi Sundowns
Ime Okon,South Africa,DF,2004-02-20,22,Hannover 96
Ricardo Goss,South Africa,GK,1994-04-02,32,Siwelele
Jayden Adams,South Africa,MF,2001-05-05,25,Mamelodi Sundowns
Olwethu Makhanya,South Africa,DF,2004-04-30,22,Philadelphia Union
Kamogelo Sebelebele,South Africa,FW,2002-07-21,23,Orlando Pirates
Bradley Cross,South Africa,DF,2001-01-30,25,Kaizer Chiefs
Kim Seung-gyu,South Korea,GK,1990-09-30,35,FC Tokyo
Lee Han-beom,South Korea,DF,2002-06-17,23,Midtjylland
Lee Gi-hyuk,South Korea,MF,2000-07-07,25,Gangwon FC
Kim Min-jae,South Korea,DF,1996-11-15,29,Bayern Munich
Kim Tae-hyeon,South Korea,DF,2000-09-17,25,Kashima Antlers
Hwang In-beom,South Korea,MF,1996-09-20,29,Feyenoord
Son Heung-min (captain),South Korea,FW,1992-07-08,33,Los Angeles FC
Paik Seung-ho,South Korea,MF,1997-03-17,29,Birmingham City
Cho Gue-sung,South Korea,FW,1998-01-25,28,Midtjylland
Lee Jae-sung,South Korea,MF,1992-08-10,33,Mainz 05
Hwang Hee-chan,South Korea,MF,1996-01-26,30,Wolverhampton Wanderers
Song Bum-keun,South Korea,GK,1997-10-15,28,Jeonbuk Hyundai Motors
Lee Tae-seok,South Korea,DF,2002-07-28,23,Austria Wien
Cho Wi-je,South Korea,DF,2001-08-25,24,Jeonbuk Hyundai Motors
Kim Moon-hwan,South Korea,DF,1995-08-01,30,Daejeon Hana Citizen
Park Jin-seob,South Korea,DF,1995-10-23,30,Zhejiang
Bae Jun-ho,South Korea,MF,2003-08-21,22,Stoke City
Oh Hyeon-gyu,South Korea,FW,2001-04-12,25,Beşiktaş
Lee Kang-in,South Korea,MF,2001-02-19,25,Paris Saint-Germain
Yang Hyun-jun,South Korea,MF,2002-05-25,24,Celtic
Jo Hyeon-woo,South Korea,GK,1991-09-25,34,Ulsan HD
Seol Young-woo,South Korea,DF,1998-12-05,27,Red Star Belgrade
Jens Castrop,South Korea,DF,2003-07-29,22,Borussia Mönchengladbach
Kim Jin-gyu,South Korea,MF,1997-02-24,29,Jeonbuk Hyundai Motors
Eom Ji-sung,South Korea,MF,2002-05-09,24,Swansea City
Lee Dong-gyeong,South Korea,MF,1997-09-20,28,Ulsan HD
Nikola Vasilj,Bosnia and Herzegovina,GK,1995-12-02,30,FC St. Pauli
Nihad Mujakić,Bosnia and Herzegovina,DF,1998-04-15,28,Gaziantep
Dennis Hadžikadunić,Bosnia and Herzegovina,DF,1998-07-09,27,Sampdoria
Tarik Muharemović,Bosnia and Herzegovina,DF,2003-02-28,23,Sassuolo
Sead Kolašinac,Bosnia and Herzegovina,DF,1993-06-20,32,Atalanta
Benjamin Tahirović,Bosnia and Herzegovina,MF,2003-03-03,23,Brøndby
Amar Dedić,Bosnia and Herzegovina,DF,2002-08-18,23,Benfica
Armin Gigović,Bosnia and Herzegovina,MF,2002-04-06,24,Young Boys
Samed Baždar,Bosnia and Herzegovina,FW,2004-01-31,22,Jagiellonia Białystok
Ermedin Demirović,Bosnia and Herzegovina,FW,1998-03-25,28,VfB Stuttgart
Edin Džeko (captain),Bosnia and Herzegovina,FW,1986-03-17,40,Schalke 04
Mladen Jurkas,Bosnia and Herzegovina,GK,2007-10-07,18,Borac Banja Luka
Ivan Bašić,Bosnia and Herzegovina,MF,2002-04-30,24,Astana
Ivan Šunjić,Bosnia and Herzegovina,MF,1996-10-09,29,Pafos
Amar Memić,Bosnia and Herzegovina,MF,2001-01-20,25,Viktoria Plzeň
Amir Hadžiahmetović,Bosnia and Herzegovina,MF,1997-03-08,29,Hull City
Dženis Burnić,Bosnia and Herzegovina,MF,1998-05-22,28,Karlsruher SC
Nikola Katić,Bosnia and Herzegovina,DF,1996-10-10,29,Schalke 04
Kerim Alajbegović,Bosnia and Herzegovina,FW,2007-09-21,18,Red Bull Salzburg
Esmir Bajraktarević,Bosnia and Herzegovina,FW,2005-03-10,21,PSV Eindhoven
Stjepan Radeljić,Bosnia and Herzegovina,DF,1997-09-05,28,Rijeka
Martin Zlomislić,Bosnia and Herzegovina,GK,1998-08-16,27,Rijeka
Haris Tabaković,Bosnia and Herzegovina,FW,1994-06-20,31,Borussia Mönchengladbach
Arjan Malić,Bosnia and Herzegovina,DF,2005-08-28,20,Sturm Graz
Jovo Lukić,Bosnia and Herzegovina,FW,1998-11-28,27,Universitatea Cluj
Ermin Mahmić,Bosnia and Herzegovina,MF,2005-03-14,21,Slovan Liberec
Dayne St. Clair,Canada,GK,1997-05-09,29,Inter Miami CF
Alistair Johnston,Canada,DF,1998-10-08,27,Celtic
Alfie Jones,Canada,DF,1997-10-07,28,Middlesbrough
Luc de Fougerolles,Canada,DF,2005-10-12,20,Dender
Joel Waterman,Canada,DF,1996-01-24,30,Chicago Fire FC
Mathieu Choinière,Canada,MF,1999-02-07,27,Los Angeles FC
Stephen Eustáquio,Canada,MF,1996-12-21,29,Los Angeles FC
Ismaël Koné,Canada,MF,2002-06-16,23,Sassuolo
Cyle Larin,Canada,FW,1995-04-17,31,Southampton
Jonathan David,Canada,FW,2000-01-14,26,Juventus
Liam Millar,Canada,MF,1999-09-27,26,Hull City
Tani Oluwaseyi,Canada,FW,2000-05-15,26,Villarreal
Derek Cornelius,Canada,DF,1997-11-25,28,Rangers
Jacob Shaffelburg,Canada,MF,1999-11-26,26,Los Angeles FC
Moïse Bombito,Canada,DF,2000-03-30,26,Nice
Maxime Crépeau,Canada,GK,1994-05-11,32,Orlando City SC
